path,size_bytes,sha256,description
CURRENT_FINDINGS_AND_EVIDENCE_SUMMARY_20260831T205314Z.md,25218,6ce4b37ea40040e4456cc6f175c06ba35d797967ae9354279c130af13d8e445c,Human-readable snapshot of current scientific findings and evidence.
FULL_PROJECT_HANDOFF_20260904T115559Z.md,54208,b95bd64402588f4ba31a6dc832040f1faca83ff2fed27f5f26e0a9803147949f,Detailed functional reconstruction of the conversation and complete project state for handoff.
INVESTIGATION_HISTORY_AND_EXPLORATION_LOG_20260831T205314Z.md,28163,2976a3922cfb75bcb96b52de5ab05463d2d7690c31a0c19853d46489a2dd0407,"Chronological exploration history, including unsuccessful routes and corrections."
NEW_CONVERSATION_SEED_20260904T115559Z.md,11786,6fb8b6662bb24ff7c999de80763279250853f1b49f4fe5f1083a8b2f67109f3d,Concise ready-to-paste seed for a new ChatGPT conversation.
README_HANDOFF.md,1139,328a4376415d7e20c8f6b7c9c9e9e71a28dc6cf22d5a6311541851ebfc388ea4,How to use this handoff bundle.
REPRODUCTION_REPOSITORY_OUTLINE_CORE_20260901T164642Z.md,20321,43549c103272b06e6ff10e7228be0687fe1db24793ce91f21650cfed1c62b361,Latest agreed simplified design for the deterministic reproduction package.
archive/gpt56sol_complete_artifact_snapshot_20260830T124820Z.sha256.txt,175,e97afab4fcb1c9000b27ca43ff13980e3dd783de3e282ae1a3e12cc8c4633775,Checksum record for the archival GPT-5.6 artifact snapshot.
archive/gpt56sol_complete_artifact_snapshot_20260830T124820Z.zip,59002534,31f0218625362411ea0a58f975b563131190a7a76b8fc05bbde2588b1da8dc04,Archival snapshot of assistant-generated artifacts through B104I; excludes large raw user inputs.
critical_artifacts/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv,16916,155d61ed60b4ad20a7d2dc4ad703d9f62a1d68b0fa360ea995643e0ef17ce89c,121-column GO mapping; six duplicate-vector assignments marked provisional.
critical_artifacts/B104E_GOA_release158_169_validated_summary_20260829T121535Z.csv,6603,858192cb5e37b943adb715960de370860370c08b7ffca400138c13e1c05e2a1a,Controlled GOA release-date screen showing release 159 uniquely exact.
critical_artifacts/B104E_MSigDB_feature_version_screen_PROVENANCE_SAFE_20260829T121535Z.csv,1324,2cc089754a5176b6db70a323096e5f22776c94bea0f72dc0ec464f1d1a1580fc,Cross-version MSigDB feature screen showing 5.0-6.0 observational equivalence.
critical_artifacts/B104E_UniProt_O95073_Q9Y620_flatfile_record_comparison_20260829T121535Z.csv,1608,9e14f60b99b402bbd3254c9fd97413c9baa2fcebb618dc9eda6b8e2db7f3a9e2,Date-matched 2016 UniProt record comparison for O95073 and Q9Y620.
critical_artifacts/B104E_exact_MSigDB52_feature_generation_rule_20260829T121535Z.csv,10275,a66ea20e5face0a6f6d35ae308ea4a3bc59ba19c4f377201cbc2151a83c7a489,Recovered exact feature-column rule/identities from MSigDB.
critical_artifacts/B104E_exact_MSigDB52_feature_generation_validation_20260829T121535Z.json,1665,44475c0c891dcd9c4c0539e468088069b58cea049d840f9f5065fb087d50dbc1,Primary exact feature reconstruction validation.
critical_artifacts/B104E_independent_MSigDB52_feature_validation_20260829T121535Z.json,2628,ffc99910551846a79bfc3bc6bbb8e219309fbe54fa48fa2506380df614975615,Independent feature reconstruction validation.
critical_artifacts/B104G_CLAIM_STATUS_20260829T151452Z.csv,2344,7be24f72c228c7606d7b3b333bb89ff122b40166fdffeaf3c94c3eb35db8e4e2,Claim/ambiguity status table at full-row reconstruction stage.
