canonical_relative_path,size_bytes,sha256,category,batch,status,description,recommended_git_tracking,canonical_source_kind,canonical_source_container,canonical_source_member_or_path,occurrence_count,duplicate_alias_count
bundle_only/ppi_reproduction_analysis_bundle/results/public_code_search.json,2190,003e95b7eb5fb43e73aae9e637d49127fbfc0a0f5b80a20f9cefdae78e2cf247,analysis_result_or_derived_data,,historical_or_supporting,analysis result or compact derived dataset: public_code_search.json.,normal_git,zip_member,ppi_reproduction_analysis_bundle.zip,results/public_code_search.json,1,0
results/provenance_events_through_B104I_20260830T114918Z.csv,46275,008e7137dae6e07824a5ecc0d00d9873e40752fde5b23a727f0cb7893f9a660d,provenance_manifest,,current_core,"Append-only provenance-event history, including receipt, validation, and deletion states.",normal_git,direct_current,provenance_events_through_B104I_20260830T114918Z.csv,results/provenance_events_through_B104I_20260830T114918Z.csv,1,0
bundle_only/B104C_MSigDB50_column_order_bundle_20260828T200948Z/B104C_delivery_20260828T200948Z/logs/uniprot_audit_dry_run.stdout,897,0106526a5cc72227c6809136135090b64b1096f46a0c0cef4b7d4a6f1bf70808,other_artifact,,supporting_analysis,assistant-generated investigation artifact: uniprot_audit_dry_run.stdout.,normal_git,zip_member,B104C_MSigDB50_column_order_bundle_20260828T200948Z.zip,B104C_delivery_20260828T200948Z/logs/uniprot_audit_dry_run.stdout,1,0
batches/B104C_20260828T194921Z/B104C_UNIPROT_AUDIT_INSTRUCTIONS_20260828T200948Z.md,2545,013f4987a877745188c99291534854021bff9038714ce7fddd557ab8f6e47730,report_or_documentation,,supporting_analysis,report or documentation artifact: B104C_UNIPROT_AUDIT_INSTRUCTIONS_20260828T200948Z.md.,normal_git,direct_current,B104C_UNIPROT_AUDIT_INSTRUCTIONS_20260828T200948Z.md,batches/B104C_20260828T194921Z/B104C_UNIPROT_AUDIT_INSTRUCTIONS_20260828T200948Z.md,2,1
bundle_only/B104G_full_row_and_label_resolution_bundle_20260829T151452Z/B104G/analysis/B104G_dhimmel_annotation_file_summary.csv,940,021a5ac97febcbb392451a94de3b7283996c6e3171c7ebad862f268f190fe38a,analysis_result_or_derived_data,B104G,current_core,B104G analysis result or compact derived dataset: B104G_dhimmel_annotation_file_summary.csv.,normal_git,zip_member,B104G_full_row_and_label_resolution_bundle_20260829T151452Z.zip,B104G/analysis/B104G_dhimmel_annotation_file_summary.csv,1,0
batches/B102_final2/B102_GraphSAGE_genes_missing_from_historical_GPI_projection_20260827T162132Z.csv,1088,02fa9f04e58daec22668711d7bd850b0a1812a8c6448a13eaf8032b3a9105386,analysis_result_or_derived_data,,historical_foundation,analysis result or compact derived dataset: B102_GraphSAGE_genes_missing_from_historical_GPI_projection_20260827T162132Z.csv.,normal_git,direct_current,B102_GraphSAGE_genes_missing_from_historical_GPI_projection_20260827T162132Z.csv,batches/B102_final2/B102_GraphSAGE_genes_missing_from_historical_GPI_projection_20260827T162132Z.csv,3,2
bundle_only/B104A_exact_GO_reconstruction_bundle_20260828T152026Z/B104A/scripts/finalize_B104A_exact_reconstruction.py,19639,033606a5fd5d9c2a61590b5a84e943b9ef770dc116602eacd68a7de07dca95af,script,B104A,supporting_analysis,"B104A analysis, download, validation, or packaging script: finalize_B104A_exact_reconstruction.py.",normal_git,zip_member,B104A_exact_GO_reconstruction_bundle_20260828T152026Z.zip,B104A/scripts/finalize_B104A_exact_reconstruction.py,1,0
bundle_only/B104D_column_order_date_range_uniprot_bundle_20260829T010311Z/B104D_delivery_20260829T010311Z/analysis/B104D_deep_column_order_top250.csv,36526,03991ec98fa9fb12af5bde1ce9052cd0016aa832d646ec87c5c264ebb200d8fd,analysis_result_or_derived_data,,supporting_analysis,analysis result or compact derived dataset: B104D_deep_column_order_top250.csv.,normal_git,zip_member,B104D_column_order_date_range_uniprot_bundle_20260829T010311Z.zip,B104D_delivery_20260829T010311Z/analysis/B104D_deep_column_order_top250.csv,1,0
bundle_only/B104C_MSigDB50_column_order_bundle_20260828T200948Z/B104C_delivery_20260828T200948Z/scripts/explore_B104C_column_order_variants.py,11146,03a38936374fbc7403a08bc210f39f71a23fccbf87427ad80dbf45899d3ed37a,script,,supporting_analysis,"analysis, download, validation, or packaging script: explore_B104C_column_order_variants.py.",normal_git,zip_member,B104C_MSigDB50_column_order_bundle_20260828T200948Z.zip,B104C_delivery_20260828T200948Z/scripts/explore_B104C_column_order_variants.py,1,0
bundle_only/B104E_GOA_date_UniProt_feature_rule_bundle_20260829T122734Z/B104E/retained_inputs/goa_date_screen_results/goa_release_162_screen.json,36211,03ee1538cb0e7c43487aff223bdc32924b8f77f39ad84e847489fe7132019611,retained_normalized_input,B104E,supporting_analysis,B104E compact normalized retained input used for later reproducibility: goa_release_162_screen.json.,normal_git,zip_member,B104E_GOA_date_UniProt_feature_rule_bundle_20260829T122734Z.zip,B104E/retained_inputs/goa_date_screen_results/goa_release_162_screen.json,1,0
bundle_only/B104A_exact_GO_reconstruction_bundle_20260828T152026Z/B104A/analysis/B104A_mapping_component_resolution_decision_20260828T145842Z.csv,726,045781dc349c3b943e5cd354674905ca10afef668109f658d6e77cccfcad0d17,analysis_result_or_derived_data,B104A,supporting_analysis,B104A analysis result or compact derived dataset: B104A_mapping_component_resolution_decision_20260828T145842Z.csv.,normal_git,zip_member,B104A_exact_GO_reconstruction_bundle_20260828T152026Z.zip,B104A/analysis/B104A_mapping_component_resolution_decision_20260828T145842Z.csv,1,0
bundle_only/B104A_exact_GO_reconstruction_bundle_20260828T152026Z/B104A/scripts/validate_B104A_delivery.py,4937,0561212678858177305bab227b52ddfd21bcf1c06a63b5c17814cb1ac1015cef,script,B104A,supporting_analysis,"B104A analysis, download, validation, or packaging script: validate_B104A_delivery.py.",normal_git,zip_member,B104A_exact_GO_reconstruction_bundle_20260828T152026Z.zip,B104A/scripts/validate_B104A_delivery.py,1,0
bundle_only/B104E_GOA_date_UniProt_feature_rule_bundle_20260829T122734Z/B104E/retained_inputs/uniprot_2016_mapping_audit/2016_06/O95073_Q9Y620_2016_06_provenance.json,2640,06072c2ad206f57eb1d252b3ab90bc19452474050d1543993c135dbd81f8c965,retained_normalized_input,B104E,supporting_analysis,B104E compact normalized retained input used for later reproducibility: O95073_Q9Y620_2016_06_provenance.json.,normal_git,zip_member,B104E_GOA_date_UniProt_feature_rule_bundle_20260829T122734Z.zip,B104E/retained_inputs/uniprot_2016_mapping_audit/2016_06/O95073_Q9Y620_2016_06_provenance.json,1,0
bundle_only/B104A_exact_GO_reconstruction_bundle_20260828T152026Z/B104A/retained_inputs/tissue_partition.csv,1550,064c396d394b90428ae2f73768c44e470a776259c1d69bea26d028fdd50fb059,retained_normalized_input,B104A,supporting_analysis,B104A compact normalized retained input used for later reproducibility: tissue_partition.csv.,normal_git,zip_member,B104A_exact_GO_reconstruction_bundle_20260828T152026Z.zip,B104A/retained_inputs/tissue_partition.csv,2,1
bundle_only/B104F_full_label_class_validation_bundle_20260829T140333Z/B104F_20260829T140333Z/provenance/provenance_events_through_B104F_PREBUNDLE_20260829T140333Z.csv,35664,065a5b5592ba06e58d97ea078466b544959c60afede72888de816bfad589d5e8,provenance_manifest,,supporting_analysis,"Append-only provenance-event history, including receipt, validation, and deletion states.",normal_git,zip_member,B104F_full_label_class_validation_bundle_20260829T140333Z.zip,B104F_20260829T140333Z/provenance/provenance_events_through_B104F_PREBUNDLE_20260829T140333Z.csv,1,0
results/source_ledger_through_B104D_FINAL_20260829T010311Z.csv,394230,071d91af798a3d82f7d0339dcb91ae814c03d67665d15bdbe299a5ea8bd9341c,provenance_manifest,,supporting_analysis,Append-only source and artifact provenance ledger.,normal_git,direct_current,source_ledger_through_B104D_FINAL_20260829T010311Z.csv,results/source_ledger_through_B104D_FINAL_20260829T010311Z.csv,1,0
batches/B000/B000_INVENTORY_RECEIPT_20260827T150123Z.md,2844,07488116b9bd3f52074017dd7586d23d1fd1b6981eaf07810a6ee97150d23eff,batch_administration,B000,historical_foundation,File inventory or enriched local-holdings inventory.,normal_git,direct_current,B000_INVENTORY_RECEIPT_20260827T150123Z.md,batches/B000/B000_INVENTORY_RECEIPT_20260827T150123Z.md,1,0
batches/B104F_20260829T140333Z/analysis/B104F_uploaded_dhimmel_file_audit.csv,2904,08f64be2297fb4de7cb52b10fd8e02070953a678f9b225a44c2d0247cb4377c6,analysis_result_or_derived_data,,supporting_analysis,analysis result or compact derived dataset: B104F_uploaded_dhimmel_file_audit.csv.,normal_git,direct_current,B104F_uploaded_dhimmel_file_audit.csv,batches/B104F_20260829T140333Z/analysis/B104F_uploaded_dhimmel_file_audit.csv,2,1
bundle_only/B104E_GOA_date_UniProt_feature_rule_bundle_20260829T122734Z/B104E/scripts/independent_validate_msigdb52_features.py,2653,093ac64918a64d038ae6a7808cb69fbaddc148ca5c0d6cd638d5c9f9c8d9b6c4,script,B104E,supporting_analysis,"B104E analysis, download, validation, or packaging script: independent_validate_msigdb52_features.py.",normal_git,zip_member,B104E_GOA_date_UniProt_feature_rule_bundle_20260829T122734Z.zip,B104E/scripts/independent_validate_msigdb52_features.py,1,0
bundle_only/B104_release158_analysis_bundle_20260828T032801Z/B104/analysis/B104_v159_new_witness_date_counts_20260828T030759Z.csv,477,0958739b680dd331a3b7d3a6115655d38a9b29c3f3bd91ee6b6f92af508ada37,analysis_result_or_derived_data,B104,historical_or_supporting,B104 analysis result or compact derived dataset: B104_v159_new_witness_date_counts_20260828T030759Z.csv.,normal_git,zip_member,B104_release158_analysis_bundle_20260828T032801Z.zip,B104/analysis/B104_v159_new_witness_date_counts_20260828T030759Z.csv,1,0
bundle_only/B104E_GOA_date_UniProt_feature_rule_bundle_20260829T122734Z/B104E/retained_inputs/uniprot_2016_mapping_audit/2016_05/O95073_Q9Y620_2016_05_provenance.json,2640,09f57af9d5105d90b04f27ccb54870aad7726811990e41415662c756c5e02656,retained_normalized_input,B104E,supporting_analysis,B104E compact normalized retained input used for later reproducibility: O95073_Q9Y620_2016_05_provenance.json.,normal_git,zip_member,B104E_GOA_date_UniProt_feature_rule_bundle_20260829T122734Z.zip,B104E/retained_inputs/uniprot_2016_mapping_audit/2016_05/O95073_Q9Y620_2016_05_provenance.json,1,0
results/MASTER_REPRODUCTION_REPORT.md,25609,0a1df00dbc4d6c5c3d3f15cfd0980632688445f69f9290d3559489b5508617b5,report_or_documentation,,historical_or_supporting,Narrative scientific and provenance report for the associated analysis batch.,normal_git,direct_current,MASTER_REPRODUCTION_REPORT.md,results/MASTER_REPRODUCTION_REPORT.md,3,2
bundle_only/B102_gp2protein_analysis_bundle_20260827T163101Z/B102/superseded_attempt_logs/20260827T161542Z/SUPERSEDED_REASON.txt,135,0b117ff554504b16c93130e5b671cf68c1bb94e2ae1efe63e2155cd82d30e009,documentation,B102,historical_foundation,B102 assistant-generated investigation artifact: SUPERSEDED_REASON.txt.,normal_git,zip_member,B102_gp2protein_analysis_bundle_20260827T163101Z.zip,B102/superseded_attempt_logs/20260827T161542Z/SUPERSEDED_REASON.txt,1,0
bundle_only/B104D_column_order_date_range_uniprot_bundle_20260829T010311Z/B104D_delivery_20260829T010311Z/analysis/B104D_uniprot_audit_ledger_review.csv,2672,0b522ba7a773ce4de3f53664a7b7e0c912393737c9a8b9f5528dea47e40dab82,analysis_result_or_derived_data,,supporting_analysis,analysis result or compact derived dataset: B104D_uniprot_audit_ledger_review.csv.,normal_git,zip_member,B104D_column_order_date_range_uniprot_bundle_20260829T010311Z.zip,B104D_delivery_20260829T010311Z/analysis/B104D_uniprot_audit_ledger_review.csv,1,0
results/EXECUTION_DIAGNOSTICS.md,4657,0b651d11e14fe6f826d51ed447a01a712210ca0bfbaa5566d9dfbc0135747b02,documentation,,historical_or_supporting,"Execution diagnostics, including accepted runs, failures, retries, and limitations.",normal_git,direct_current,EXECUTION_DIAGNOSTICS.md,results/EXECUTION_DIAGNOSTICS.md,2,1
bundle_only/ppi_reproduction_analysis_bundle/scripts/core_reproduction.py,35290,0c1daf906b810a7d2b5acfc0cdccf664fce1ec1cf74beddf5b40e2bcc7d16112,script,,historical_or_supporting,"analysis, download, validation, or packaging script: core_reproduction.py.",normal_git,zip_member,ppi_reproduction_analysis_bundle.zip,scripts/core_reproduction.py,1,0
