topic,literature_source,literature_claim,reconstruction_evidence,relationship,evidence_category,recommended_report_wording,source_urls,notes
Graph topology identity,GraphSAGE paper; OhmNet paper,The PPI benchmark contains 24 tissue graphs; OhmNet contains tissue-specific PPI layers.,All 24 GraphSAGE graphs match specific supplied OhmNet tissue edgelists exactly after recovering row identities; all node and edge sets reconcile.,agrees and strengthens,byte-level exact,The GraphSAGE PPI topology is a 24-graph subset of the supplied OhmNet tissue-network collection.,https://proceedings.neurips.cc/paper_files/paper/2017/file/5dd9db5e033da9c6fb5ba83c7a7ebea9-Paper.pdf; https://academic.oup.com/bioinformatics/article/33/14/i190/3953967,
PPI upstream source,OhmNet manuscript,"The global network combines experimentally supported physical interactions from Orchard/MIntAct, Rolland, BioGRID, HPRD, CORUM, Ruepp, and Menche; it contains 21,557 proteins and 342,353 interactions.","The union of all 144 supplied OhmNet tissue edgelists equals the BioSNAP combined OhmNet file (70,338 unique pairs) and every union edge is present in the BioSNAP 21,557-node/342,353-edge global interactome.",agrees on the enlarged global network; refines source chain,byte-level exact plus documented,"The OhmNet tissue edges are exact subsets of the BioSNAP 342,353-edge global physical-interactome file; BioGRID is one contributor, not the sole source.",https://snap.stanford.edu/biodata/datasets/10000/10000-PP-Pathways.html; https://snap.stanford.edu/biodata/datasets/10013/10013-PPT-Ohmnet.html,Per-edge attribution to individual databases is absent from the flattened files.
Menche citation and network size,Menche et al. 2015,"Menche compiled 141,296 interactions among 13,460 proteins from seven interaction classes.","OhmNet/BioSNAP reports and contains 342,353 edges among 21,557 nodes; therefore it is not byte-for-byte or numerically the Menche 2015 interactome.",literature discrepancy / likely updated network,documented plus byte-level exact,"Menche 2015 describes an earlier 13,460-node/141,296-edge composite interactome. OhmNet uses a larger 21,557-node/342,353-edge resource, so its Menche citation should be read as methodological/source lineage rather than identity of the exact network.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4435741/; https://snap.stanford.edu/biodata/datasets/10000/10000-PP-Pathways.html,
Tissue filtering,OhmNet manuscript and BioSNAP,Each tissue network is induced from the global network by interactions specifically co-expressed in that tissue under the Greene criterion.,The supplied 144 tissue networks collapse exactly to the BioSNAP combined file and are subsets of the global file. The intermediate gene-to-tissue calls were not independently reconstructed in this audit.,partially agrees; mechanism not fully independently verified,documented plus open,The released edge sets are externally verified; the stated co-expression filtering rule is documented but its intermediate tissue-activity inputs remain to be reconstructed.,https://snap.stanford.edu/biodata/datasets/10013/10013-PPT-Ohmnet.html,
Feature families,GraphSAGE paper,"Features are positional gene sets, motif gene sets, and immunological signatures from MSigDB.",All 50 deposited columns are exactly 30 C1 positional sets followed by 20 C3 motif sets; no C7 column is present.,conflicts or is incomplete,byte-level exact; procedure strongly inferred,"The observed features contain C1 and C3 memberships only. A global 50-column cap could explain why a stated C7 stage contributed no columns, but the original implementation is not documented.",https://proceedings.neurips.cc/paper_files/paper/2017/file/5dd9db5e033da9c6fb5ba83c7a7ebea9-Paper.pdf,
Feature selection rule,No precise published rule found,The literature does not specify how large MSigDB collections became 50 dimensions.,"A source-order, source-size threshold near 200 genes, and global cap of 50 reconstruct every feature cell; the empty chryq11 column supports filtering before graph-universe intersection.",fills undocumented gap,strongly inferred,"State the exact reconstruction and its controls, while labeling >=200 versus >200, the literal C7 loop, and the MSigDB release as unresolved.",https://github.com/williamleif/GraphSAGE/issues/190,
Label source,GraphSAGE paper and issue #78,The 121 GO label sets were collected from MSigDB.,"Direct memberships from supplied MSigDB 5.0, 5.1, 5.2, and 6.0 produce no exact label column. GOA human release 159 with one fixed evidence/relation/mapping/propagation policy reproduces all deposited cells under the recovered row map.",conflicts with a literal direct-membership reading,byte-level exact; literal upstream file still open,The deposited label memberships are not direct memberships from the tested MSigDB releases. GOA v159 exactly reproduces them; MSigDB may have supplied term identities or an upstream candidate list.,https://proceedings.neurips.cc/paper_files/paper/2017/file/5dd9db5e033da9c6fb5ba83c7a7ebea9-Paper.pdf; https://github.com/williamleif/GraphSAGE/issues/78,
Inductive split interpretation,GraphSAGE paper,Training uses 20 graphs and testing uses two entirely unseen graphs.,"Each row has exactly one graph-level split, but 3,599 of 4,301 Entrez genes occur in more than one split and 3,067 occur in train, validation, and test.",statement is graph-wise true but biologically incomplete,byte-level exact plus interpretive refinement,"The held-out tissues are unseen graphs, but most biological gene identities are not unseen. Distinguish graph-level induction from entity-level novelty.",https://proceedings.neurips.cc/paper_files/paper/2017/file/5dd9db5e033da9c6fb5ba83c7a7ebea9-Paper.pdf,
Node identifiers,GraphSAGE release,The released PPI files anonymize biological node identities; no mapping is distributed.,"A legacy Python-2/NetworkX string-key order exactly reconstructs all rows and is cross-validated by topology, features, and labels.",fills undocumented gap,strongly inferred with byte-level downstream confirmation,"Publish the recovered mapping, but call the historical ordering mechanism a forensic reconstruction rather than direct source-code proof.",https://github.com/williamleif/GraphSAGE/issues/188,
OhmNet layer counts,OhmNet paper; released archive; GraphSAGE paper,OhmNet experiments discuss 107 tissue layers; the public source package has 144 tissue edgelists; GraphSAGE uses 24.,"The 24 GraphSAGE tissue identities are exact, but the rule selecting 24 from 144 and assigning 20/2/2 remains unresolved.",documented counts with open selection mechanism,open,Report all three counts and do not imply that the 24 were the only OhmNet networks or a simple size-threshold sample.,https://academic.oup.com/bioinformatics/article/33/14/i190/3953967; https://proceedings.neurips.cc/paper_files/paper/2017/file/5dd9db5e033da9c6fb5ba83c7a7ebea9-Paper.pdf,
