record_type,artifact_name,local_path,local_status,origin_in_this_run,analysis_role,used_by,direct_or_canonical_source_url,source_page_url,url_status,retrieval_status,retrieved_at_utc,size_bytes,sha256,parent_or_derivation,notes,batch_id,user_local_relative_path,user_local_status,user_local_size_bytes,user_local_sha256,user_local_mtime_utc,inventory_file,inventory_sha256,deletion_state,event_recorded_at_utc,supersedes_prior_record_type,hash_authority,runtime_verification_status,planned_batch,retained_derivative_paths,parser_script_sha256,raw_to_derived_reconciliation,user_deletion_confirmed_at_utc
actual_input,Greene2015.pdf,/mnt/data/Greene2015.pdf,present,user_upload,Greene et al. manuscript,documentary verification,https://doi.org/10.1038/ng.3259,https://www.nature.com/articles/ng.3259,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,1729378,15c734d37bf63dc586d9bfb95673612209a2f2d298a0a1dc84fa63a1d7a17ce2,,User-supplied publisher PDF.,,,,,,,,,,,,,,,,,,
actual_input,Greene2015_Table6.xlsx,/mnt/data/Greene2015_Table6.xlsx,present,user_upload,expert-curated GO term list,run_local_label_source_screen.py,https://www.nature.com/articles/ng.3259#Sec23,https://www.nature.com/articles/ng.3259,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,37992,691b9d895ac6d0f6ed7abedb96d9b206965fe221e3ccdae940b4daa5db50533e,,Supplementary Table 6; 973 GO IDs after parsing.,,,,,,,,,,,,,,,,,,
actual_input,Greene2015_Table9.xlsx,/mnt/data/Greene2015_Table9.xlsx,present,user_upload,GO-to-tissue mapping,run_local_label_source_screen.py,https://www.nature.com/articles/ng.3259#Sec23,https://www.nature.com/articles/ng.3259,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,140272,18ae68f28d9b84f4b1cb7f7c7c1cc8eb76716414de2089a329f070a5aeca6cd5,,"Supplementary Table 9; 6,172 unique GO IDs after parsing.",,,,,,,,,,,,,,,,,,
actual_input,Greene2015_sup.pdf,/mnt/data/Greene2015_sup.pdf,present,user_upload,Greene et al. supplementary information,documentary verification,https://www.nature.com/articles/ng.3259#Sec23,https://www.nature.com/articles/ng.3259,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,6701167,89e84c545590a3d34890f24cf6543a336b59cace8926a83701f503afcd979ed9,,User-supplied supplementary PDF; source page recorded because publisher asset URLs may change.,,,,,,,,,,,,,,,,,,
actual_input,OhmNet.pdf,/mnt/data/OhmNet.pdf,present,user_upload,OhmNet manuscript,documentary verification,https://doi.org/10.1093/bioinformatics/btx252,https://academic.oup.com/bioinformatics/article/33/14/i190/3953967,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,1458562,e60daf8341d0e322ce58e7c6ad194f7e4b573df7c8aba1716ad78c98992b02fe,,User-supplied manuscript PDF.,,,,,,,,,,,,,,,,,,
actual_input,Pasted markdown(1).md,/mnt/data/Pasted markdown(1).md,present,user_upload,copied EBI GOA archive listing,historical source discovery only,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,237584,f856e6f29f02a17c83650724f2b8434383dc7952c03e5200d4bb9c47c1c8782e,,"Local file is a pasted listing, not an archive data file.",,,,,,,,,,,,,,,,,,
actual_input,bio-tissue-hierarchy.tar.gz,/mnt/data/bio-tissue-hierarchy.tar.gz,present,user_upload,OhmNet tissue hierarchy; retained for later work,not used in current numeric checks,https://snap.stanford.edu/ohmnet/bio-tissue-hierarchy.tar.gz,https://snap.stanford.edu/ohmnet/,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,421785,c4568a68bb83319bff854eecf73a93f698fe2c41ed6e95639af974dd024ffef7,,Official OhmNet project download.,,,,,,,,,,,,,,,,,,
actual_input,bio-tissue-labels.tar.gz,/mnt/data/bio-tissue-labels.tar.gz,present,user_upload,OhmNet tissue-specific GO labels,run_local_label_source_screen.py,https://snap.stanford.edu/ohmnet/bio-tissue-labels.tar.gz,https://snap.stanford.edu/ohmnet/,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,1793328,6abf272940d2407849bd779e5f85c0377a2fb07c2351d1ebc82e3d06a46bc11d,,Official OhmNet project download.,,,,,,,,,,,,,,,,,,
actual_input,bio-tissue-networks.tar.gz,/mnt/data/bio-tissue-networks.tar.gz,present,user_upload,OhmNet tissue PPI source candidate,run_core_verification.py,https://snap.stanford.edu/ohmnet/bio-tissue-networks.tar.gz,https://snap.stanford.edu/ohmnet/,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,15568869,2c79e17f4a7c8680a7cbf8b20cef4acf356a7523c9a75fce586494153c0603d1,,Official OhmNet project download.,,,,,,,,,,,,,,,,,,
actual_input,bio-tissue-readme.txt,/mnt/data/bio-tissue-readme.txt,present,user_upload,OhmNet data documentation,report documentation,https://snap.stanford.edu/ohmnet/bio-tissue-readme.txt,https://snap.stanford.edu/ohmnet/,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,1465,7f3372f8ae3a90852951c73b18980386ceb4ad2f5d32d81366adf22fd75e2b20,,States Entrez Gene IDs and August-September 2016 collection date.,,,,,,,,,,,,,,,,,,
