claim_id,claim,evidence_status,result,primary_artifacts,source_basis,limitation
SPLIT-001,"The GraphSAGE supplement describes 20 randomly selected training PPI networks with at least 15,000 edges and four heldout networks with at least 35,000 edges, split two validation and two test.",documented,Direct manuscript statement.,GraphSAGE.pdf Appendix B; REPORT.md section 2.1,User-supplied manuscript.,"The statement does not define the candidate universe, edge-count convention, whether heldout selection was random, or exact selection order."
SPLIT-002,All 24 deposited GraphSAGE PPI components exactly match named OhmNet edgelists.,data_level_exact,"24 of 24 edge multisets exact; zero missing or extra records; 818,716 records on both sides.",results/graphsage_ohmnet_topology_validation.csv; results/source_and_topology_validation.json,User-supplied GraphSAGE and OhmNet archives.,Exact immediate-source match does not identify the original selection script.
SPLIT-003,The deposited split is incompatible with the published thresholds in the currently supplied OhmNet files under every ordinary edge-count convention tested.,data_level_exact,"Raw counts fail for astrocyte, basophil, and midbrain; basophil remains below 15,000 even under directed-arc counting.",results/actual_split_threshold_compliance.csv; results/edge_count_convention_pools.csv,Direct counts from 144 supplied edgelists.,"A different historical release, preprocessing stage, or undocumented exception could reconcile the manuscript with the deposited split."
SPLIT-004,The released test split has 99.3845% test-row GeneID overlap with training and a forensic GeneID-lookup micro-F1 of 0.9971784.,data_level_exact,"5,490 of 5,524 test rows seen; 1,126 positive label cells missed.",results/actual_test_tissue_lookup_breakdown.csv; results/actual_validation_holdout_effect.csv,Recovered complete node-to-Entrez mapping and exact released label vectors.,This diagnostic uses recovered identities and is not the reported GraphSAGE model score.
SPLIT-005,"Within the fixed set of 24 deposited tissues, near-perfect lookup behavior is typical under alternative 20/2/2 allocations.",exhaustive,"All 63,756 allocations evaluated; median F1 0.998563; 92.954% at least 0.99; 22.087% exactly 1.",results/fixed24_all_63756_splits.csv.gz; results/fixed24_summary.json; results/fixed24_threshold_probabilities.csv,Complete finite enumeration.,This universe ignores the stated edge thresholds because no assignment of these 24 satisfies them.
SPLIT-006,The released fixed-24 allocation is less leakage-favorable than most reallocations of the same tissues.,exhaustive,Released F1 at 30.989th percentile; 69.012% of allocations equal or exceed it.,results/fixed24_actual_percentiles.csv,Complete finite enumeration.,Percentile applies only to the deposited-24 universe.
SPLIT-007,Test-tissue identity dominates fixed-24 variation in lookup F1.,exhaustive,97.337% of population variance lies between test pairs; 2.663% among validation choices within test pairs.,results/fixed24_variance_decomposition.csv; results/fixed24_test_pair_summary.csv,Complete finite enumeration and variance decomposition.,Variance allocation is descriptive for this finite universe.
SPLIT-008,The actual heart/kidney validation choice unusually reduces lookup coverage for the lung/midbrain test pair.,exhaustive,Eighth-lowest of 231 validation choices; 3.247th midrank percentile within the fixed test pair. Adding both validation layers to training raises F1 to 0.998854.,results/fixed24_variance_decomposition.csv; results/actual_validation_holdout_effect.csv,Complete finite enumeration plus exact actual split calculation.,"This is a counterfactual lookup calculation, not a retrained GraphSAGE experiment."
SPLIT-009,"Under raw-threshold sampling from all 144 released layers, lookup F1 remains highly concentrated near one but has a meaningful lower tail.",monte_carlo,"One million samples per procedure; mean 0.993390 to 0.993914, median 0.995031 to 0.995452, sampled minima about 0.92.",results/full144_sampling_summary.json; results/full144_sample_quantiles.csv,Fixed-seed C++ sampling under two explicit selection orders.,The released split is not a member; observed minima are not proven global minima.
SPLIT-010,"The released F1 is moderately high, but not exceptional, relative to all-144 raw-threshold counterfactuals.",monte_carlo_contextual,66.566th to 69.437th contextual percentile; 30.563% to 33.434% of samples equal or exceed it.,results/full144_actual_external_percentiles.csv; results/headline_results.csv,One million samples per explicit selection procedure.,External percentile only because the actual split violates the current thresholds.
