current_relative_path,entry_kind,origin_class,recommended_destination,recommended_action,git_tracking_recommendation,description,notes,known_size_bytes,known_sha256,known_source_url,classification_basis
2016-06-01-annotations-README,directory,external_raw_data,data/raw/ebi_goa_human/2016-06-01-annotations-README,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,1999,32134f9555d6710a9bb488fe652fef04cd84facf516f669939487d137f8bcc88,https://release.geneontology.org/2016-06-01/annotations/gp2protein/README,filename/path rules; hashes only where previously recorded
2016-06-01-gene_ontology.obo,file,external_raw_data,data/raw/gene_ontology_release_2016_06_01/2016-06-01-gene_ontology.obo,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,,,https://release.geneontology.org/2016-06-01/ontology/gene_ontology.obo,filename/path rules; hashes only where previously recorded
2016-06-01-go.obo,file,external_raw_data,data/raw/gene_ontology_release_2016_06_01/2016-06-01-go.obo,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,34762536,9b4c0c28d73ba41ae4c684d78b354d2c8bea691a5d759d4cdd188eecdd307ca2,https://release.geneontology.org/2016-06-01/ontology/go.obo,filename/path rules; hashes only where previously recorded
2016-06-01-go.owl,file,external_raw_data,data/raw/gene_ontology_release_2016_06_01/2016-06-01-go.owl,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,,,https://release.geneontology.org/2016-06-01/ontology/go.owl,filename/path rules; hashes only where previously recorded
2016-06-01-gp2protein.geneid.gz,file,external_raw_data,data/raw/gene_ontology_release_2016_06_01/2016-06-01-gp2protein.geneid.gz,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,38540366,f3a2d329ada32f03e4c3ec60c55ef77cfe3626c3c875832e59612e5f316504e7,https://release.geneontology.org/2016-06-01/annotations/gp2protein/gp2protein.geneid.gz,filename/path rules; hashes only where previously recorded
2016-06-01-gp2protein.human.gz,file,external_raw_data,data/raw/gene_ontology_release_2016_06_01/2016-06-01-gp2protein.human.gz,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,378274,5a62823541d718c212b61efe741b61f67b10c9a8fb71114f9cd3e33f9cc501dd,https://release.geneontology.org/2016-06-01/annotations/gp2protein/gp2protein.human.gz,filename/path rules; hashes only where previously recorded
2016-12-23-gene2go.gz,file,external_raw_data,data/raw/ncbi_gene/2016-12-23-gene2go.gz,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,,,,filename/path rules; hashes only where previously recorded
2016-12-23-gene2go_human.tsv.gz,file,external_raw_data,data/raw/ncbi_gene/2016-12-23-gene2go_human.tsv.gz,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,,,,filename/path rules; hashes only where previously recorded
2016_04,directory,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_04,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,,,,filename/path rules; hashes only where previously recorded
2016_04/O95073_Q9Y620_2016_04.dat,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_04/O95073_Q9Y620_2016_04.dat,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,20154,2abb3f223e2f51d634b21002d0dcad004339d5eb6f6ec3843e2edfef1aa015a5,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_04/knowledgebase/uniprot_sprot-only2016_04.tar.gz,filename/path rules; hashes only where previously recorded
